title,url,originName,editor,displayTime,summary,content
坚决惩戒赖清德 全力捍卫台海和平,http://tw.people.com.cn/n1/2025/0403/c14657-40452616.html,人民网－人民日报,赵欣悦,2025-04-02 21:54:58,“台独”分裂势力背弃民族大义、背离民心大势，严重破坏两岸关系，严重威胁台海和平稳定。中国以军事慑压行动对“台独”分裂分子实施惩戒，完全符合国际法和国际惯例，完全正当必要。尤其是3月13日抛出“绿恐谋独行动方案”，将大陆列为“境外敌对势力”，蓄意制造冲突对立，将台海推向兵凶战危，给台湾同胞带来深重灾祸，已经沦为彻头彻尾的“麻烦制造者”“危险制造者”“战争制造者”。支持“台独”分裂就是干涉中国内政，纵容“台独”分裂就是破坏台海稳定，任何外部势力无权干涉中国内部事务。今日之中国，绝不可能允许国土被分裂、被侵占。,"这两天,就在中国人民解放军位台岛周边开展联合演训,对""台独""分裂势力进行严重警告和有力遏制之时,一些西方政客又跳出来,颠倒是非声称反对以武力或胁迫单方面改变现状,指责中国在台岛周边""不负责任的威胁和军事施压""没有正当理由。如果连捍卫国家主权、维护国家统一都不算正当,还有什么算正当?这些政客的奇谈怪论,罔顾事实,只会被人耻笑。  确保国家统一,坚定维护国家主权、安全、发展利益,天经地义。任何一个国家,都不会容忍分裂行径。世界上只有一个中国,台湾是中国的一部分,这是历史和法理事实。""台独""分裂势力背弃民族大义、背离民心大势,严重破坏两岸关系,严重威胁台海和平稳定。中国以军事慑压行动对""台独""分裂分子实施惩戒,完全符合国际法和国际惯例,完全正当必要。我们敦促某些西方政客,停止为""台独""分裂分子站台、张目,用实际行动恪守在台湾问题上作出的支持""一个中国""原则的严肃承诺。  是谁在单方面改变现状、猖狂挑衅?国际社会已有公论,正是赖清德为首的""台独""分裂势力。自成为台湾地区领导人以来,赖清德顽固坚持""台独""分裂立场,大肆宣扬""台独""分裂主张,持续鼓吹""互不隶属""的""新两国论"",歪曲否定""九二共识""。尤其是3月13日抛出""绿恐谋独行动方案"",将大陆列为""境外敌对势力"",蓄意制造冲突对立,将台海推向兵凶战危,给台湾同胞带来深重灾祸,已经沦为彻头彻尾的""麻烦制造者""""危险制造者""""战争制造者""。中国采取必要军事慑压行动,就是要以武止戈,恰恰是在真正维护和平。  对于这些事实和道理,那些西方政客岂会不知?屡屡混淆是非、颠倒黑白,不过是又想打""台湾牌"",搞""以台制华""那一套。但这样的盘算错估了形势、错判了人心。台湾问题是中国的内政,是中国核心利益中的核心,如何解决台湾问题是中国人自己的事,不容他人置喙。支持""台独""分裂就是干涉中国内政,纵容""台独""分裂就是破坏台海稳定,任何外部势力无权干涉中国内部事务。今日之中国,绝不可能允许国土被分裂、被侵占。倘若有人要""以台制华"",就是站在14亿多中国人民的对立面,注定遭受失败。正如国防部新闻发言人指斥,不管谁打""台湾牌""干涉中国内政,都是祸乱地区、殃及自身的不明智之举,最终成其难以承受之重。赖清德""倚外谋独""只能是幻梦一场,在外部势力眼中,台湾不过是工具、棋子和炮灰,卖台求荣抱""洋人""大腿,终将落得用过即丢的弃子下场。  统一是历史大势,是正道;""台独""是历史逆流,是绝路。正如外交部发言人所指,""台独""挑衅一日不止,反""独""惩戒一刻不停。赖清德当局每挑衅一次,军事慑压就进逼一步,""台独""分裂分子脖子上的绳索就勒紧一分,直至完全覆灭,直至祖国统一。 
  《 人民日报 》( 2025年04月03日   04 版)

(责编:赵欣悦、袁勃)"
坚决惩戒赖清德 全力捍卫台海和平,http://cpc.people.com.cn/n1/2025/0403/c64387-40452992.html,人民网－人民日报,彭晓玲,2025-04-03 01:02:26,“台独”分裂势力背弃民族大义、背离民心大势，严重破坏两岸关系，严重威胁台海和平稳定。中国以军事慑压行动对“台独”分裂分子实施惩戒，完全符合国际法和国际惯例，完全正当必要。尤其是3月13日抛出“绿恐谋独行动方案”，将大陆列为“境外敌对势力”，蓄意制造冲突对立，将台海推向兵凶战危，给台湾同胞带来深重灾祸，已经沦为彻头彻尾的“麻烦制造者”“危险制造者”“战争制造者”。支持“台独”分裂就是干涉中国内政，纵容“台独”分裂就是破坏台海稳定，任何外部势力无权干涉中国内部事务。今日之中国，绝不可能允许国土被分裂、被侵占。,
国台办：“台独”与台海和平水火不容,http://tw.people.com.cn/n1/2024/1127/c14657-40370345.html,人民网-台湾频道,贾文婷,2024-11-27 05:29:45,“台独”与台海和平水火不容。“台独”分裂势力及其谋“独”挑衅是台海和平稳定的最大威胁。,"人民网北京11月27日电(记者徐祥丽、苏缨翔)国务院台湾事务办公室27日举行例行新闻发布会,发言人陈斌华主持发布会并答问。
中央广播电视总台央视《海峡两岸》记者提问:赖清德日前出席一场青年活动时,向与会高中生提出所谓""和平三选项"",否定两岸签署和平协议和""九二共识"",再次鼓噪两岸""互不隶属"",声称""坚持主权""""与民主阵营站在一起""是其""和平之路""。对此有何评论?
陈斌华表示,面对未成年学生,赖清德以骗术、话语欺骗诱导年轻学子接受其""台独""分裂主张,意图让无辜青年成为""台独""牺牲品,其行可耻,其心可诛。
""台独""与台海和平水火不容。""台独""分裂势力及其谋""独""挑衅是台海和平稳定的最大威胁。赖清德所谓的""和平之路"",是置台湾青年和广大民众安全福祉于不顾、打着""和平""幌子备战引战的自毁之路,是把台湾一步步推向兵凶战危的自绝之路。希望广大台湾同胞特别是台湾青年认清赖清德和民进党当局的""台独""本性,把命运牢牢掌握在自己手中,坚决反对其谋""独""挑衅,让台湾转危为安,走上可长可久的和平之路。

(责编:贾文婷、杨牧)"
敦促美方停止武装台湾，停止破坏台海和平稳定,http://sc.people.com.cn/n2/2025/0227/c345460-41148377.html,人民网－《人民日报》,罗昱,2025-02-27 02:08:03,　　本报北京2月26日电 （记者李安琪）外交部发言人林剑26日表示，中方敦促美方停止武装台湾，停止破坏台海和平稳定。　　“我们敦促美方停止武装台湾，停止破坏台海和平稳定。中方将密切关注形势发展，坚定捍卫国家主权、安全和领土完整。”林剑说。 　　《 人民日报 》（ 2025年02月27日 18 版）,"本报北京2月26日电  (记者李安琪)外交部发言人林剑26日表示,中方敦促美方停止武装台湾,停止破坏台海和平稳定。  当日例行记者会上,有记者问:据报道,特朗普政府日前解冻53亿美元""援外资金"",其中包括8.7亿美元对台军援。中方对此有何评论?  林剑表示,中方对有关报道感到严重关切。美国向中国台湾地区提供军事援助,严重违反一个中国原则和中美三个联合公报,严重侵犯中国主权和安全利益,向""台独""分裂势力发出严重错误信号,中方历来坚决反对。  ""我们敦促美方停止武装台湾,停止破坏台海和平稳定。中方将密切关注形势发展,坚定捍卫国家主权、安全和领土完整。""林剑说。 
  《 人民日报 》( 2025年02月27日   18 版)

(责编:罗昱、章华维)"
外交部：敦促美方停止制造台海局势紧张因素,http://usa.people.com.cn/n1/2025/0311/c241376-40436265.html,中国新闻网,林凡巽,2025-03-11 00:48:25,我们敦促美方恪守一个中国原则和中美三个联合公报的规定，停止售台武器和美台军事联系，停止制造台海局势紧张因素，停止危害台海和平稳定。,"中新网北京3月10日电(记者 邢翀)中国外交部发言人毛宁3月10日主持例行记者会。
有记者提问:报道称,美国将加快向台湾交付武器,发言人能否证实?
毛宁:中方坚决反对美台军事联系和美国对台出售武器的立场是一贯的、明确的。
台湾问题是中国核心利益中的核心,也是中美关系第一条不可逾越的红线。我们敦促美方恪守一个中国原则和中美三个联合公报的规定,停止售台武器和美台军事联系,停止制造台海局势紧张因素,停止危害台海和平稳定。

(责编:林凡巽、姜洁)"
敦促美方停止武装台湾，停止破坏台海和平稳定,http://world.people.com.cn/n1/2025/0227/c1002-40426987.html,人民网－人民日报,岳弘彬,2025-02-26 21:37:11,　　本报北京2月26日电 （记者李安琪）外交部发言人林剑26日表示，中方敦促美方停止武装台湾，停止破坏台海和平稳定。　　“我们敦促美方停止武装台湾，停止破坏台海和平稳定。中方将密切关注形势发展，坚定捍卫国家主权、安全和领土完整。”林剑说。 　　《 人民日报 》（ 2025年02月27日 18 版）,"本报北京2月26日电  (记者李安琪)外交部发言人林剑26日表示,中方敦促美方停止武装台湾,停止破坏台海和平稳定。  当日例行记者会上,有记者问:据报道,特朗普政府日前解冻53亿美元""援外资金"",其中包括8.7亿美元对台军援。中方对此有何评论?  林剑表示,中方对有关报道感到严重关切。美国向中国台湾地区提供军事援助,严重违反一个中国原则和中美三个联合公报,严重侵犯中国主权和安全利益,向""台独""分裂势力发出严重错误信号,中方历来坚决反对。  ""我们敦促美方停止武装台湾,停止破坏台海和平稳定。中方将密切关注形势发展,坚定捍卫国家主权、安全和领土完整。""林剑说。 
  《 人民日报 》( 2025年02月27日   18 版)

(责编:岳弘彬、牛镛)"
国台办：谁是两岸和平破坏者、台海危机制造者 不言自明,http://tw.people.com.cn/n1/2025/0312/c14657-40437357.html,人民网-台湾频道,崔越,2025-03-12 02:48:14,中央广播电视总台《海峡两岸》记者提问：对于大陆今年国防预算增长7.2%，台陆委会称，希望“大陆理性克制，与台湾当局沟通对话，共同承担台海及区域和平稳定的责任，勿采取军事挑衅作为”。请问对此有何评论？民进党当局刻意渲染台海紧张局势、妄图挑动两岸对立，不过是为了模糊焦点，逃避岛内各界对其无底线“卖台”、交“保护费”的批评和反对。,"人民网北京3月12日电 (苏缨翔、曹欣悦)国务院台湾事务办公室12日举行例行新闻发布会,发言人陈斌华主持发布会并答问。
中央广播电视总台《海峡两岸》记者提问:对于大陆今年国防预算增长7.2%,台陆委会称,希望""大陆理性克制,与台湾当局沟通对话,共同承担台海及区域和平稳定的责任,勿采取军事挑衅作为""。请问对此有何评论?
陈斌华回答:大陆方面按照国防法、预算法等法律法规要求,每年的国防支出预算都纳入政府预算草案,由全国人民代表大会审查和批准,依法管理和使用,并对外公布国防支出预算总额。大陆方面的国防支出公开透明、合理适度,完全是捍卫国家主权、安全和发展利益的需要,是维护世界和平的需要。
民进党当局一再炒作大陆""军事威胁"",却对外部势力榨取台湾的行径竭力讨好;不断""倚外谋独""""以武谋独"",却对岛内民众希望改善民生福利、""避战谋和""的呼声置若罔闻。谁是两岸和平破坏者、台海危机制造者,不言自明。
民进党当局刻意渲染台海紧张局势、妄图挑动两岸对立,不过是为了模糊焦点,逃避岛内各界对其无底线""卖台""、交""保护费""的批评和反对。不管民进党当局怎么涂脂抹粉、东拉西扯,都改变不了其""媚美卖台""的本质和怯懦。""台独""是绝路,统一挡不住。无论民进党当局编列多少军费、交多少""保护费"",都改变不了""以武拒统""死路一条的下场,都阻挡不了祖国必然统一的历史大势。

(责编:崔越、杨牧)"
美国侨界谈《反分裂国家法》维护台海和平稳定重要作用,http://usa.people.com.cn/n1/2025/0317/c241376-40440274.html,中国新闻网,林凡巽,2025-03-17 01:03:53,对于这部法律在维护台海和平稳定方面发挥的重要作用，美国侨界人士在接受中新社采访时表示，两岸关系经历风云变幻，《反分裂国家法》“以法惩独”打击“台独”分裂势力的嚣张气焰，是推动两岸关系平稳发展的定海神针。“越是台海形势多变之时，海外侨胞的爱国情怀越是强烈。”吴惠秋表示，在美侨胞对于中国主权独立和领土完整的支持，对中国国家利益的支持是毫无疑问的，期待两岸关系向前走，在美侨胞对于两岸和平统一进程充满信心。,"中新社华盛顿3月14日电 (记者 陈孟统)《反分裂国家法》实施20周年座谈会14日在北京举行。对于这部法律在维护台海和平稳定方面发挥的重要作用,美国侨界人士在接受中新社采访时表示,两岸关系经历风云变幻,《反分裂国家法》""以法惩独""打击""台独""分裂势力的嚣张气焰,是推动两岸关系平稳发展的定海神针。
全美中国和平统一促进会联合会秘书长吴惠秋在14日接受中新社记者采访时表示,海峡两岸过去20年间经历风云变幻,在""台独""分裂势力挑衅不断、外部势力干扰愈加激烈的新形势下,很有必要依法来反""独""促统,尤其有必要通过研讨《反分裂国家法》的实施,回顾历史、总结经验,从而推进两岸和平统一进程。
吴惠秋表示,岛内""台独""分裂势力在将""台湾问题国际化""的错误道路上越走越远,实际上是在挑衅一个中国原则的底线。此次座谈会正是以《反分裂国家法》实施20周年的历史节点,表明坚决捍卫国家主权和领土完整的决心和底线。以这部法律为准绳,向岛内分裂势力发出警告,同时阻遏外部势力干涉台湾问题。
北加州中国和平统一促进会理事长邹志强认为,20年来,《反分裂国家法》在反对""台独""分裂势力、遏制""台独""分裂活动、反对外部势力干涉台湾问题方面都发挥了重要作用。进一步丰富完善""以法惩独""的制度体系,在""台独""分裂势力嚣张之时,就有必要坚决开展反分裂、反干涉斗争。
日前,全美中国和平统一促进会联合会在马里兰州召开座谈会,纪念《反分裂国家法》实施20周年。座谈会发表的联合声明指出,《反分裂国家法》在国际社会确立了台湾问题是中国核心利益中的核心的不可撼动地位,形成了""红线不可触碰""的普遍共识。在美广大侨胞将以纪念《反分裂国家法》实施20周年为新起点,为推进实现中国的统一大业和中华民族伟大复兴作出贡献。
""越是台海形势多变之时,海外侨胞的爱国情怀越是强烈。""吴惠秋表示,在美侨胞对于中国主权独立和领土完整的支持,对中国国家利益的支持是毫无疑问的,期待两岸关系向前走,在美侨胞对于两岸和平统一进程充满信心。

(责编:林凡巽、Sun Zhao)"
外交部：敦促美方停止武装台湾，停止破坏台海和平稳定,http://world.people.com.cn/n1/2025/0226/c1002-40426781.html,新华网,赵欣悦,2025-02-26 08:29:17,　　新华社北京2月26日电（记者成欣、马卓言）外交部发言人林剑26日表示，中方敦促美方停止武装台湾，停止破坏台海和平稳定。 　　“我们敦促美方停止武装台湾，停止破坏台海和平稳定。中方将密切关注形势发展，坚定捍卫国家主权、安全和领土完整。”林剑说。,"新华社北京2月26日电(记者成欣、马卓言)外交部发言人林剑26日表示,中方敦促美方停止武装台湾,停止破坏台海和平稳定。
  当日例行记者会上,有记者问:据报道,特朗普政府日前解冻53亿美元""援外资金"",其中包括8.7亿美元对台军援。中方对此有何评论?
  林剑表示,中方对有关报道感到严重关切。美国向中国台湾地区提供军事援助,严重违反一个中国原则和中美三个联合公报,严重侵犯中国主权和安全利益,向""台独""分裂势力发出严重错误信号,中方历来坚决反对。
  ""我们敦促美方停止武装台湾,停止破坏台海和平稳定。中方将密切关注形势发展,坚定捍卫国家主权、安全和领土完整。""林剑说。

(责编:赵欣悦、袁勃)"
外交部：敦促美方停止武装台湾，停止破坏台海和平稳定,http://usa.people.com.cn/n1/2025/0227/c241376-40427195.html,新华社,林凡巽,2025-02-27 00:39:59,新华社北京2月26日电（记者成欣、马卓言）外交部发言人林剑26日表示，中方敦促美方停止武装台湾，停止破坏台海和平稳定。“我们敦促美方停止武装台湾，停止破坏台海和平稳定。中方将密切关注形势发展，坚定捍卫国家主权、安全和领土完整。”林剑说。,"新华社北京2月26日电(记者成欣、马卓言)外交部发言人林剑26日表示,中方敦促美方停止武装台湾,停止破坏台海和平稳定。
当日例行记者会上,有记者问:据报道,特朗普政府日前解冻53亿美元""援外资金"",其中包括8.7亿美元对台军援。中方对此有何评论?
林剑表示,中方对有关报道感到严重关切。美国向中国台湾地区提供军事援助,严重违反一个中国原则和中美三个联合公报,严重侵犯中国主权和安全利益,向""台独""分裂势力发出严重错误信号,中方历来坚决反对。
""我们敦促美方停止武装台湾,停止破坏台海和平稳定。中方将密切关注形势发展,坚定捍卫国家主权、安全和领土完整。""林剑说。

(责编:林凡巽、姜洁)"
